Kategorie,Name DE,Name EN,COâ‚‚ / 1.6FU (ohne Flug),kg CO2 / kg (ohne Flug),CO2 Base Value [g],Summe Transport fÃ¼r 1.6 FU,CO2 Land Transport [g],CO2 Sea Transport [g],CO2 Air Transport [g],Food Unit,Energy [kcal],kcal fÃ¼r 1.6FU,Gewicht fÃ¼r 1.6 FU,Name FR
vegetables & mushrooms,"Pepper, sweet, red, raw","Pepper, sweet, red, raw",,1.02,,,,,,,,,,
vegetables & mushrooms,"Tomato, ripe, raw, origin unknown","Tomato, ripe, raw, origin unknown",,0.7,,,,,,,,,,
vegetables & mushrooms,"Squash, raw","Squash, raw",,0.83,,,,,,,,,,
vegetables & mushrooms,"Aubergine, raw","Aubergine, raw",,0.97,,,,,,,,,,
spices & condiments,"Tomato, dried","Tomato, dried",,1.95,,,,,,,,,,
vegetables & mushrooms,"Pumpkin, raw","Pumpkin, raw",,0.83,,,,,,,,,,
vegetables & mushrooms,"Cucumber, raw","Cucumber, raw",,0.56,,,,,,,,,,
vegetables & mushrooms,"Gherkin cucumber, raw","Gherkin cucumber, raw",,0.56,,,,,,,,,,
vegetables & mushrooms,"Pepper, hot chili, raw","Pepper, hot chili, raw",,1.02,,,,,,,,,,
meat,"Beef, topside, cap off, raw","Beef, topside, cap off, raw",,45.69,,,,,,,,,,
meat,"Beef, fillet, defatted, raw","Beef, fillet, defatted, raw",,151.95,,,,,,,,,,
meat,"Beef, mince, 10-15% fat, raw","Beef, mince, 10-15% fat, raw",,32.51,,,,,,,,,,
meat,"Beef, rump, raw","Beef, rump, raw",,45.69,,,,,,,,,,
meat,"Beef, mince, 15-20% fat, raw","Beef, mince, 15-20% fat, raw",,30.84,,,,,,,,,,
meat,"Beef, T-bone steak, raw","Beef, T-bone steak, raw",,80.89,,,,,,,,,,
meat,"Beef, mince, 5-10% fat, raw","Beef, mince, 5-10% fat, raw",,34.19,,,,,,,,,,
beverages,"Beer, lager, alc. 4.4 % by vol.","Beer, lager, alc. 4.4 % by vol.",,0.6,,,,,,,,,,
beverages,"Beer, Danish household, low alcohol","Beer, Danish household, low alcohol",,0.6,,,,,,,,,,
beverages,"Beer, strong, alc. 7.6 % by vol.","Beer, strong, alc. 7.6 % by vol.",,0.6,,,,,,,,,,
starches & bread,"Biscuit, sweet","Biscuit, sweet",,2.75,,,,,,,,,,
starches & bread,"Biscuit, wholemeal, digestive type","Biscuit, wholemeal, digestive type",,2.73,,,,,,,,,,
starches & bread,"Butter cookie, wheat, Danish, industrially produced","Butter cookie, wheat, Danish, industrially produced",,2.98,,,,,,,,,,
starches & bread,American inspired cookie,American inspired cookie,,2.73,,,,,,,,,,
starches & bread,Granola bar,Granola bar,,2.88,,,,,,,,,,
starches & bread,Wafer sticks,Wafer sticks,,2.1,,,,,,,,,,
starches & bread,Bread-crumbs,Bread-crumbs,,1.26,,,,,,,,,,
starches & bread,"Crispbread, knackebrot, rye, coarse","Crispbread, knackebrot, rye, coarse",,1.08,,,,,,,,,,
starches & bread,"Wheat bread, for toasting, industrially produced","Wheat bread, for toasting, industrially produced",,0.74,,,,,,,,,,
starches & bread,"Bread, white, for sausages","Bread, white, for sausages",,0.74,,,,,,,,,,
starches & bread,"Bread, white, roll, coarse grain","Bread, white, roll, coarse grain",,0.74,,,,,,,,,,
starches & bread,"Rye bread, dark, whole grains, industrially produced","Rye bread, dark, whole grains, industrially produced",,0.62,,,,,,,,,,
starches & bread,"Rye bread crumbs with brown sugar, average values","Rye bread crumbs with brown sugar, average values",,1.56,,,,,,,,,,
starches & bread,"Corn flakes, average values","Corn flakes, average values",,1.51,,,,,,,,,,
starches & bread,"Breakfast cereal, mŸsli, average values","Breakfast cereal, mŸsli, average values",,1.76,,,,,,,,,,
starches & bread,"Breakfast cereal, Guldkorn","Breakfast cereal, Guldkorn",,2.12,,,,,,,,,,
starches & bread,"Breakfast cereal, Havrefras","Breakfast cereal, Havrefras",,1.7,,,,,,,,,,
diary & eggs,"Butter, salt added","Butter, salt added",,3.92,,,,,,,,,,
diary & eggs,"Blended spread, 75% fat","Blended spread, 75% fat",,3.8,,,,,,,,,,
starches & bread,"Plain cake, chocolate cake","Plain cake, chocolate cake",,2.15,,,,,,,,,,
starches & bread,"Danish pastry, kanelsnegl","Danish pastry, kanelsnegl",,1.77,,,,,,,,,,
starches & bread,"Plain cake, average values","Plain cake, average values",,2.15,,,,,,,,,,
starches & bread,"Cream pastry, layer cake","Cream pastry, layer cake",,2.15,,,,,,,,,,
starches & bread,"Cookie, truffle product / unbaked, industrially produced","Cookie, truffle product / unbaked, industrially produced",,2.63,,,,,,,,,,
meat,"Bacon, frying, raw","Bacon, frying, raw",,4.8,,,,,,,,,,
meat,"Sausage, salami","Sausage, salami",,5.06,,,,,,,,,,
meat,"Pork, ham, boiled, sliced","Pork, ham, boiled, sliced",,3.38,,,,,,,,,,
meat,"Roastbeef, sliced","Roastbeef, sliced",,45.84,,,,,,,,,,
meat,"Pork, sausage, Danish, raw","Pork, sausage, Danish, raw",,2.21,,,,,,,,,,
meat,"Pork, liver paste, Danish","Pork, liver paste, Danish",,3.51,,,,,,,,,,
meat,"Pork, flank, spiced, cooked","Pork, flank, spiced, cooked",,3.38,,,,,,,,,,
meat,Pork sausage,Pork sausage,,1.81,,,,,,,,,,
meat,"Chicken, breast, boiled, sliced","Chicken, breast, boiled, sliced",,3.25,,,,,,,,,,
meat,"Chicken, leg, flesh and skin, raw","Chicken, leg, flesh and skin, raw",,1.39,,,,,,,,,,
meat,"Chicken, drumstick, flesh and skin, raw","Chicken, drumstick, flesh and skin, raw",,1.32,,,,,,,,,,
meat,"Chicken, breast, flesh and skin, raw","Chicken, breast, flesh and skin, raw",,3.44,,,,,,,,,,
meat,"Chicken, sausage","Chicken, sausage",,1.44,,,,,,,,,,
meat,"Chicken, hen, flesh and skin, raw","Chicken, hen, flesh and skin, raw",,2.22,,,,,,,,,,
beverages,"Tea, leaves","Tea, leaves",,8.41,,,,,,,,,,
beverages,"Coffee, instant, powder","Coffee, instant, powder",,10.11,,,,,,,,,,
beverages,"Coffee bean, roasted, ground","Coffee bean, roasted, ground",,10.11,,,,,,,,,,
beverages,"Cocoa, instant, without milk, powder","Cocoa, instant, without milk, powder",,4.98,,,,,,,,,,
spices & condiments,"Cocoa, powder","Cocoa, powder",,4.98,,,,,,,,,,
meat,"Lamb, flank, spiced, cooked","Lamb, flank, spiced, cooked",,24.75,,,,,,,,,,
meat,"Sausage, beef salami","Sausage, beef salami",,34.11,,,,,,,,,,
meat,"Pork, saddle, smoked, boiled","Pork, saddle, smoked, boiled",,3.38,,,,,,,,,,
spices & condiments,"Salad dressing, oil and vinegar","Salad dressing, oil and vinegar",,4.02,,,,,,,,,,
spices & condiments,"Salad dressing, thousand island","Salad dressing, thousand island",,4.86,,,,,,,,,,
beverages,"Water, tap, drinking, average values","Water, tap, drinking, average values",,0,,,,,,,,,,
