Supplier,Product Code,Product Name,Case Size,Ingredients,,,,,
Harvey & Brockless,CH009,CALLEBAUT WHITE DROPS 29.5% 2.5KG,,"sugar, cocoa butter, milk powder, emulsifier: soya lecithin, flavourings:natural vanilla flavour",,,,,
Harvey & Brockless,CH133,CALLEBAUT DARK STRONG DROPS 72.5% 2.5KG,,"cocoa mass, sugar, fat reduced cocoa powder, soya lecithin, vanilla flavouring",,,,,
Harvey & Brockless,CH600,CALLEBAUT MILK DROPS 35.1% 10KG,,"Sugar (42%), Cocoa Butter (24%), Whole Milk Powder (22.5%), Cocoa Mass (11%), Emulsifier (<1%) [Soya lecithin], Natural Vanilla Flavouring (<1%).",,,,,
Harvey & Brockless,CH602,CALLEBAUT DARK (STRONG) DROPS 72.5% 10KG,,"Cocoa Mass (71.0%), Sugar (26.0%), Fat Reduced Cocoa Powder (2%), Emulsifier (<1%) [Soya Lecithin], Natural Vanilla Flavouring (<1%).",,,,,
Harvey & Brockless,CH896,CALLEBAUT DARK MOUSSE POWDER 800G,,"Sugar, Cocoa Mass (71%), Skimmed Milk Powder, Fat Reduced Cocoa Powder, Chocolate, Dark (2%), Glucose Syrup, Fully Hydrogenated Vegetable Fat, Colour E150d
Milk Protein, Emulsifier E471, E472a, Stabiliser E340ii, Soya Lecithin, Natural Vanilla Flavouring",,,,,
Harvey & Brockless,CP026,PRET PICKLE 6KG,,"Apple, Granulated Sugar, Water, Balsamic Vinegar Caramel Free, Tomato Puree, Kibbled Onion, Raisins, Garlic Puree, Salt, Apple Extract, Ground Ginger Puree .",,,,,
Harvey & Brockless,CP077,MEMBRILLO QUINCE 800G,,"quince,sugar, gelling agent: pectin, acidity regulator:citric acid, preservative:sodium benzoate",,,,,
Harvey & Brockless,CP085,TOMATO & RED PEPPER RELISH 1KG,,"tomatoes, sugar, diced red pepper, sun dried tomato paste (Rapeseed Oil, Tomato, Water, Salt), white wine vinegar, kibbled onions, salt, mustard seeds, ground ginger",,,,,
Harvey & Brockless,CP142,CHUTNEY CARAMELISED APPLE & ONION 1KG,,"Apple, Granulated Sugar, Cider Vinegar, Kibbled Onion, Pectin, Muscovado Sugar, Sultanas (Sultanas, Sunflower Oil), Salt, Ground Ginger, Ground Black Pepper,Ground White Pepper, Citric Acid",,,,,
Harvey & Brockless,CP150,JELLY SMOKED CHILLI CROXTON MANOR 1KG,,"Granulated Sugar, Cider Vinegar, Water
Pectin, Red Peer IQF, Chipotle Chillies, Citric Acid ,Smoked Paprika",,,,,
Harvey & Brockppless,CP170,FIG SET FRUIT CONSERVE 200G,,"Fig Puree (35%), Sugar, Dark Brown Sugar, Water, Lemon Juice Concentrate, Fruit",,,,,
Harvey & Brockless,CP173,DAMSON PLUM SET FRUIT CONSERVE 200G,,"Damson Plum Puree (32%), Sugar, Water, Lemon Juice Concentrate, Fruit Pectin,
Natural Damson Plum Flavouring, Citric Acid",,,,,
Harvey & Brockless,CP180,CARAMELISED APPLE SET FRUIT CONSERVE 500,,"Apple Puree (31%), Sugar, Water, Fruit Pectin, Lemon Juice Concentrate, Apple
Flavouring, Citric Acid",,,,,
Harvey & Brockless,CP182,FIG SET FRUIT CONSERVE 500G,,"Fig Puree (35%), Sugar, Dark Brown Sugar, Water, Lemon Juice Concentrate, Fruit
Pectin, Citric Acid",,,,,
