E_Number,Item,Fraction
E100,Curcumin,0.001
E101,Riboflavin,0.001
E101,Riboflavin-5'-phosphate,0.001
E102,Tartrazine,0.001
E104,Quinoline yellow,0.001
E110,Sunset Yellow FCF,0.001
E110,Orange Yellow S,0.001
E120,Cochineal,0.001
E120,Carminic acid,0.001
E120,Carmines,0.001
E122,Azorubine,0.001
E122,Carmoisine,0.001
E123,Amaranth,0.001
E124,Ponceau 4R,0.001
E124,Cochineal Red A,0.001
E127,Erythrosine,0.001
E129,Allura Red AC,0.001
E131,Patent Blue V,0.001
E132,lndigotine,0.001
E132,Indigo Carmine,0.001
E133,Brilliant Blue FCF,0.001
E140,Chlorophylls and chlorophyllins,0.001
E141,Copper complexes of chlorophyll and chlorophyllins,0.001
E142,Green S,0.001
E150a,Plain caramel,0.001
E150b,Caustic sulphite caramel,0.001
E150c,Ammonia caramel,0.001
E150d,Sulphite ammonia caramel,0.001
E151,Brilliant Black BN,0.001
E151,Black PN,0.001
E153,Vegetable carbon,0.001
E155,Brown HT,0.001
E160a,Carotenes,0.001
E160b(i),"Annatto, bixin",0.001
E160b(ii),"Annatto, norbixin",0.001
E160c,Paprika extract,0.001
E160c,Capsanthian,0.001
E160c,Capsorubin,0.001
E160d,Lycopene,0.001
E160e,Beta-apo-8'-carotenal (C30),0.001
E161b,Lutein,0.001
E161g,Canthaxanthin,0.001
E162,Beetroot Red,0.001
E162,Betanin,0.001
E163,Anthocyanins,0.001
E170,Calcium carbonate,0.001
E171,Titanium dioxide,0.001
E172,Iron oxides and hydroxides,0.001
E173,Aluminium,0.001
E174,Silver,0.001
E175,Gold,0.001
E180,Litholrubine BK,0.001
E200,Sorbic acid,0.001
E202,Potassium sorbate,0.001
E210,Benzoic acid,0.001
E211,Sodium benzoate,0.001
E212,Potassium benzoate,0.001
E213,Calcium benzoate,0.001
E214,Ethyl p-hydroxybenzoate,0.001
E215,Sodium ethyl p-hydroxybenzoate,0.001
E218,Methyl p-hydroxybenzoate,0.001
E219,Sodium methyl p-hydroxybenzoate,0.001
E220,Sulphur dioxide,0.001
E221,Sodium sulphite,0.001
E222,Sodium hydrogen sulphite,0.001
E223,Sodium metabisulphite,0.001
E224,Potassium metabisulphite,0.001
E226,Calcium sulphite,0.001
E227,Calcium hydrogen sulphite,0.001
E228,Potassium hydrogen sulphite,0.001
E234,Nisin,0.001
E235,Natamycin,0.001
E239,Hexamethylene tetramine,0.001
E242,Dimethyl dicarbonate,0.001
E243,Ethyl lauroyl arginate,0.001
E249,Potassium nitrite,0.001
E250,Sodium nitrite,0.001
E251,Sodium nitrate,0.001
E252,Potassium nitrate,0.001
E280,Propionic acid,0.001
E281,Sodium propionate,0.001
E282,Calcium propionate,0.001
E283,Potassium propionate,0.001
E284,Boric acid,0.001
E285,Sodium tetraborate,0.001
E285,borax,0.001
E1105,Lysozyme,0.001
E300,Ascorbic acid,0.001
E301,Sodium ascorbate,0.001
E302,Calcium ascorbate,0.001
E304,Fatty acid esters of ascorbic acid,0.001
E306,Tocopherols,0.001
E307,Alpha-tocopherol,0.001
E308,Gamma-tocopherol,0.001
E309,Delta-tocopherol,0.001
E310,Propyl gallate,0.001
E315,Erythorbic acid,0.001
E316,Sodium erythorbate,0.001
E319,Tertiary-butyl hydroquinone (TBHQ),0.001
E320,Butylated hydroxyanisole (BHA),0.001
E321,Butylated hydroxytoluene (BHT),0.001
