"SupplierDB","MainDB"
"beef stock","Bouillon, beef, prepared"
"Cocoa powder","Cocoa, instant, without milk, powder"
"Granulated sugar","Sugar, brown"
"butter (milk)","Buttermilk"
"pasteurised cow's milk","Milk, partly skimmed, 1.5 % fat"
"cream","Cream, whipping, 38 % fat"
"pasteurised cow's cream","Cream, whipping, 38 % fat"
"sea salt","salt"
"unpasteurised sheeps milk","Goat milk"
"pasteurised sheeps milk","Goat milk"
"pasteurised cows milk","Milk, partly skimmed, 1.5 % fat"
"Tomatoes","Tomato, ripe, raw, origin unknown"
"Cocoa Mass","Cocoa, powder"
"Apple","Apple, raw, all varieties"
"lemon juice concentrate","Lemon juice"
"dark brown sugar","Sugar, brown"
"whole milk powder","Milk powder"
"garlic puree","Garlic, raw"
"cocoa beans","Cocoa paste"
"natural vanilla extract","Vanilla beans"
"unpasteurised cows milk","Milk, whole, 3.5 % fat"
"extra virgin olive oil","Olive oil"
"white wine vinegar","Vinegar (Malt)"
"starter culture","Yeast, bakers, compressed"
"microbial rennet","Animal fat"
"vegetarian rennet","Vegetable fat"
"animal rennet","Animal fat"
"acidity regulator","Apple pectin"
"citric acid","Apple pectin"
"preservative","Apple pectin"
"calcium chloride","Apple pectin"
"black pepper","Pepper, black"
"mould culture","Yeast, bakers, compressed"
"starter cultures","Yeast, bakers, compressed"
"colour","Apple pectin"
"spirit vinegar","Sherry vinegar"
"emulsifier","Gelatin"
"antioxidant","Apple pectin"
"unpasteurised cow's milk","Milk, whole, 3.5 % fat"
"glucose syrup","Syrup, kitchen"
"potassium sorbate","Apple pectin"
"sodium nitrite","Apple pectin"
"lactic ferments","Apple pectin"
"lactic culture","Yeast, bakers, compressed"
"ascorbic acid","Apple pectin"
"skimmed milk powder","Milk powder"
"maize starch","Starch (corn)"
"yeast extract","Yeast, bakers, compressed"
"lactic starter culture","Yeast, bakers, compressed"
"sunflower lecithin","Sunflower oil"
"emulsifier (soya lecithin)","Gelatin"
"garlic powder","Garlic, raw"
"onion powder","Onion, raw"
"starter","Yeast, bakers, compressed"
"raw cane sugar","Sugar, white"
"cheddar cheese","Cheese, firm, Danbo, 45 % fidm."
"cheese","Cheese, firm, Danbo, 45 % fidm."
"blue mould","Yeast, bakers, compressed"
"raisins","raisins, seedless"
"sage","sage, dried"
"cider","cider 4.5%"
"apricot","apricot, raw"
"natural colour","Apple pectin"
"rennet","Animal fat"
"lactic acid","Apple pectin"
"natural vanilla extract.","Vanilla beans"
"natural flavouring","Apple pectin"
"stabiliser","Apple pectin"
"iron","Apple pectin"
"sodium ferrocyanide","Apple pectin"
"lactic cultures","Apple pectin"
"annatto","Apple pectin"
"muscovado sugar","Sugar, brown"
"flavouring","Apple pectin"
"acetic acid","Apple pectin"
"curing salt","Salt, table"
"concentrated butter (milk)","Butter, salt added"
"niacin","Sugar, brown"
"wine vinegar","Sherry vinegar"
"soya lecithin","Apple pectin"
"stabilizer","Apple pectin"
"modified maize starch","Starch (corn)"
"cultures","Yeast, bakers, compressed"
"sulphur dioxide","Apple pectin"
"cayenne pepper","Paprika (powder)"
"lactic starter cultures","Yeast, bakers, compressed"
"cracked black pepper","Pepper, black"
"cows milk","Milk, whole, 3.5 % fat"
"ground turmeric","Tamarind"
"cheddar cheese (milk)","Cheese, firm, Danbo, 45 % fidm."
"red wine vinegar","Sherry vinegar"
"maltodextrin","Apple pectin"
"hazelnuts","Hazelnut, dried"
"firming agent","Apple pectin"
"xanthan gum","Apple pectin"
"invert sugar","Sugar, white"
"allspice","Spices"
"salt  contains starter cultures","Salt, table"
"modified starch","Starch (corn)"
"chillies","Pepper, hot chili, raw"
"cream (milk)","Cream, cultured, 18 % fat"
"pork fat","Animal fat"
"cocoa bean","Cocoa butter"
"d-sorbitol","Apple pectin"
"sodium ascorbate","Apple pectin"
"skimmed milk","Milk, partly skimmed, 1.5 % fat"
"white pepper","Pepper, black"
"whole condensed milk","Milk, whole, 3.5 % fat"
"salt.","Salt, table"
"pdv salt","Salt, table"
"cane sugar","Sugar, white"
"lactic acid bacteria","Apple pectin"
"ginger puree","Ginger root, raw"
"veg rennet","Vegetable fat"
"calcium chloride (e509)","Apple pectin"
"vegetarian rennet.","Vegetable fat"
"smoked paprika","Paprika (powder)"
"microbial rennet.","Animal fat"
"smoke flavouring","Paprika (powder)"
"rapeseed  oil","Rapeseed oil"
"ground coriander","Coriander, dried"
"sodium nitrate","Apple pectin"
"coagulant","Apple pectin"
"lactic acid culture","Apple pectin"
"ground cinnamon","Cinnamon"
"acidity regulator [citric acid (e330)]","Apple pectin"
"penicillin candidum","Apple pectin"
"free range egg yolk powder","Eggs, chicken, free-range hens (indoor), raw"
"dijon mustard","Mustard, yellow, ready made"
"flavourings","Apple pectin"
"dextrose monohydrate","Apple pectin"
"salt  microbial rennet","Animal fat"
"microbial rennet (trace)","Animal fat"
"ground cumin","Cumin"
"carrageenan","Apple pectin"
"pasteurized cows milk","Milk, whole, 3.5 % fat"
"natural vanilla flavour","Vanilla beans"
"blue mould culture","Yeast, bakers, compressed"
"potato starch","Starch (potato)"
"paprika extract","Paprika (powder)"
"tomato puree","Tomato paste, concentrated"
"pdv salt [anti-caking agent sodium hexacyanoferrate ii (e535)]","Salt, table"
"coarse sea salt","Salt, table"
"annatto norbixin e160b (ii) ], microbial rennet","Animal fat"
"lactic starters","Apple pectin"
"natural flavourings","Apple pectin"
"red wine","Wine, red"
"penicillium","Apple pectin"
"mould","Yeast, bakers, compressed"
"pork meat","Pork, mince, 15-20% fat, raw"
"salt conatins anti caking agent [ sodium hexacyanoferrate]","Salt, table"
"sweetened dried cranberries","Cranberry, raw"
"annato norbixin","Apple pectin"
"pure cane sugar","Sugar, white"
"milk protein","Milk powder"
"concentrated lemon juice","Lemon juice"
"coagulanting enzyme","Apple pectin"
"fenugreek","Spices"
"animal rennet.","Animal fat"
"sultanas","Raisins, seedless"
"pasteurised goat's milk","Goat milk"
"crushed chilli","Pepper, hot chili, raw"
"emulsifier (sunflower lecithin)","Sunflower oil"
"thiamin","Apple pectin"
"mustard flour","Mustard, yellow, ready made"
"preservatives","Apple pectin"
"raising agent","Baking powder"
"thiamine","Apple pectin"
"calcium carbonate","Apple pectin"
"waxy maize starch","Starch (corn)"
"calcium chloride [calcium chloride]","Apple pectin"
"ripening ferments","Apple pectin"
"penicillium roqueforti","Apple pectin"
"annatto norbixin (e160b)ii","Apple pectin"
"penicillium candidum","Apple pectin"
"fructose","Apple pectin"
"colour [annatto norbixin]","Apple pectin"
"soy lecithin","Apple pectin"
"annatto norbixin e160b (ii)","Apple pectin"
"potassium sorbate.","Apple pectin"
"skimmed milk concentrate","Milk powder"
"dried skimmed milk","Milk powder"
"cranberries","Cranberry, raw"
"salt contains anti-caking agent","Salt, table"
"vanilla extract","Vanilla beans"
"pasteurised cow milk","Milk, whole, 3.5 % fat"
"lactic acid starter cultures","Apple pectin"
"gelling agent","Gelatin"
"milk cream","Cream, cultured, 18 % fat"
"lactic starters propionic","Apple pectin"
"nettle leaves","Nettles"
"emulsifying salts","Gelatin"
"sulphites","Apple pectin"
"stabilisers","Apple pectin"
"vegetable oil","Vegetable fat"
"cellulose","Apple pectin"
"preservative (sodium benzoate)","Apple pectin"
"bramley apples","Apple, raw, all varieties"
"potassium nitrate","Apple pectin"
"chilli flakes","Pepper, hot chili, raw"
"goats milk","Goat milk"
"yorkshire wensleydale cheese","Cheese, firm, Danbo, 45 % fidm."
"coloring agent","Apple pectin"
"anti-caking agent","Baking powder"
"starters","Yeast, bakers, compressed"
"microbial coagulant","Apple pectin"
"starter culture.","Yeast, bakers, compressed"
"thermised goat's milk","Goat milk"
"bay leaves","Basil, dried"
"cane molasses","Molasses"
"acidity regulators","Apple pectin"
"mould culture (penicillium roquefort)","Yeast, bakers, compressed"
"whey powder (milk)","Whey powder"
"sheeps","Goat milk"
"bacterial culture.","Yeast, bakers, compressed"
"pasteurised cows","Milk, whole, 3.5 % fat"
"e100","Apple pectin"
"soya beans","Beans, soy, dried, raw"
"caramel","Chocolate, milk"
"cashews","Cashew nuts, dry roasted"
"pasteurised sheep's milk","Goat milk"
"wheat gluten","Gluten (wheat)"
"double cream (milk)","Cream, cultured, 18 % fat"
"olive extract","Olive oil"
"cheese culture","Yeast, bakers, compressed"
"colouring","Apple pectin"
"lime juice concentrate","Lime juice"
"bacterial culture","Yeast, bakers, compressed"
"rice wine vinegar","Rice vinegar"
"dextrin","Apple pectin"
"colours","Apple pectin"
"lactic starter","Yeast, bakers, compressed"
"coconut extract","Desiccated coconut"
"sourdough","Bread, white, roll, coarse grain"
"leek powder","Leek, raw"
"apricots","Apricot, raw"
"durum wheat semolina","Wheat, flour, wholemeal"
"red chillies","Pepper, hot chili, raw"
"tomato powder","Tomato paste, concentrated"
"chilli powder","Pepper, hot chili, raw"
"carrot powder","Carrot, raw"
"annatto norbixin","Apple pectin"
"lysozyme","Apple pectin"
"soya bean","Beans, soy, dried, raw"
"modified potato starch","Starch (potato)"
"e450","Apple pectin"
"aroma","Apple pectin"
"green olives","Olives, green, pickled, canned"
"annatto norbixin e160b","Apple pectin"
"goat's milk","Goat milk"
"citric acid.","Apple pectin"
"saccharin","Apple pectin"
"parsley herb oil","Parsley, dried"
"demerara sugar","Sugar, brown"
"sweetener","Sugar, white"
"ground fennel","Fennel, root, raw"
"red pepper","Pepper, sweet, red, raw"
"gum arabic","Apple pectin"
"ground ginger","Ginger root, raw"
"charcoal ash","Apple pectin"
"silicon dioxide","Apple pectin"
"acidity regulator (lactic acid)","Apple pectin"
"port partially dealcoholised","Wine, red"
"ground black pepper","Wine, red"
"lecithin","Apple pectin"
"paprika flakes","Paprika (powder)"
"thickener","Apple pectin"
"red peppers","Pepper, sweet, red, raw"
"brine contains","Salt, table"
"citric acid (e330)","Apple pectin"
"ash","Apple pectin"
"mace","Nutmeg"
"mould cultures.","Apple pectin"
"acidity regulator (citric acid)","Yeast, bakers, compressed"
"antioxidant [ascorbic acid (e300)]","Apple pectin"
"dvi starter culture","Yeast, bakers, compressed"
"garlic pure","Garlic, raw"
"wholegrain oats","Wheat, kernels, whole/cracked"
"natural vanilla flavor","Vanilla beans"
"raising agents","Baking powder"
"cream (milk) starter culture","Cream, cultured, 18 % fat"
"sodium bicarbonate; stabiliser","Baking powder"
"pasteurised sheep & goat's milk","Goat milk"
"vitamin b12","Apple pectin"
"coriander seeds","Coriander, dried"
"starter cultures.","Yeast, bakers, compressed"
"carrots","Carrot, raw"
"e330","Apple pectin"
"b-lc-78 culture.","Yeast, bakers, compressed"
"yeast cultures","Yeast, bakers, compressed"
"sheep & goat's milk","Goat milk"
"glucose-fructose syrup","Syrup, kitchen"
"fruit pectin","Apple pectin"
"microbial rennett","Animal fat"
"pork protein","Pork, mince, 15-20% fat, raw"
"shellac","Starch (corn)"
"vegerarian rennet","Vegetable fat"
"lactic bacteria","Yeast, bakers, compressed"
"soy beans","Beans, soy, dried, raw"
"locust bean gum","Apple pectin"
"wheat starch","Starch (wheat)"
"cheese (milk)","Cheese, firm, Danbo, 45 % fidm."
"mead","Brandy, cognac"
"cassia","Cinnamon"
"fat reduced cocoa powder","Cocoa butter"
"water.","Water, tap, drinking, average values"
"pasteurised goats milk","Goat milk"
"autolysed yeast","Yeast, bakers, compressed"
"red leicester cheese","Cheese, firm, Danbo, 45 % fidm."
