,Supplier,Product Code,Product Name,Case Size,Ingredients,MissingName,MatchedName,Main,CO2perKG
0,"['sugar nan%', 'cocoa butter nan%', 'milk powder nan%', 'emulsifier: soya lecithin nan%', 'flavourings:natural vanilla flavour nan%']",CH009,CALLEBAUT WHITE DROPS 29.5% 2.5KG,,"sugar, cocoa butter, milk powder, emulsifier: soya lecithin, flavourings:natural vanilla flavour","['emulsifier: soya lecithin', 'flavourings:natural vanilla flavour']","['sugar->sugar, white']","['sugar, white', 'cocoa butter', 'milk powder']",1.796
1,"['cocoa mass nan%', 'sugar nan%', 'fat reduced cocoa powder nan%', 'soya lecithin nan%', 'vanilla flavouring nan%']",CH133,CALLEBAUT DARK STRONG DROPS 72.5% 2.5KG,,"cocoa mass, sugar, fat reduced cocoa powder, soya lecithin, vanilla flavouring","['fat reduced cocoa powder', 'soya lecithin', 'vanilla flavouring']","['cocoa mass->cocoa, powder', 'sugar->sugar, white']","['cocoa, powder', 'sugar, white']",3.49
2,"['sugar 42.0%', 'cocoa butter 24.0%', 'whole milk powder 22.5%', 'cocoa mass 11.0%', 'emulsifier  (soya lecithin) 0.5%', 'natural vanilla flavouring . 0.5%']",CH600,CALLEBAUT MILK DROPS 35.1% 10KG,,"sugar (42%), cocoa butter (24%), whole milk powder (22.5%), cocoa mass (11%), emulsifier (<1%) [soya lecithin], natural vanilla flavouring (<1%).","['whole milk powder', 'emulsifier  (soya lecithin)', 'natural vanilla flavouring .']","['sugar->sugar, white', 'cocoa mass->cocoa, powder']","['sugar, white', 'cocoa butter', 'cocoa, powder']",2.172592207792208
3,"['cocoa mass 71.0%', 'sugar 26.0%', 'fat reduced cocoa powder 2.0%', 'emulsifier  (soya lecithin) 0.5%', 'natural vanilla flavouring . 0.5%']",CH602,CALLEBAUT DARK (STRONG) DROPS 72.5% 10KG,,"cocoa mass (71.0%), sugar (26.0%), fat reduced cocoa powder (2%), emulsifier (<1%) [soya lecithin], natural vanilla flavouring (<1%).","['fat reduced cocoa powder', 'emulsifier  (soya lecithin)', 'natural vanilla flavouring .']","['cocoa mass->cocoa, powder', 'sugar->sugar, white']","['cocoa, powder', 'sugar, white']",4.181237113402062
4,"['sugar nan%', 'cocoa mass 71.0%', 'skimmed milk powder nan%', 'fat reduced cocoa powder nan%', 'chocolate nan%', 'dark 2.0%', 'glucose syrup nan%', 'fully hydrogenated vegetable fat nan%', 'colour e150d nan%', 'milk protein nan%', 'emulsifier e471 nan%', 'e472a nan%', 'stabiliser e340ii nan%', 'soya lecithin nan%', 'natural vanilla flavouring nan%']",CH896,CALLEBAUT DARK MOUSSE POWDER 800G,,"sugar, cocoa mass (71%), skimmed milk powder, fat reduced cocoa powder, chocolate, dark (2%), glucose syrup, fully hydrogenated vegetable fat, colour e150d
milk protein, emulsifier e471, e472a, stabiliser e340ii, soya lecithin, natural vanilla flavouring","['skimmed milk powder', 'fat reduced cocoa powder', 'glucose syrup', 'fully hydrogenated vegetable fat', 'colour e150d', 'milk protein', 'emulsifier e471', 'e472a', 'stabiliser e340ii', 'soya lecithin', 'natural vanilla flavouring']","['sugar->sugar, white', 'cocoa mass->cocoa, powder', 'chocolate->chocolate, milk', 'dark->chocolate, dark']","['sugar, white', 'cocoa, powder', 'chocolate, milk', 'chocolate, dark']",4.5799
5,"['apple nan%', 'granulated sugar nan%', 'water nan%', 'balsamic vinegar caramel free nan%', 'tomato puree nan%', 'kibbled onion nan%', 'raisins nan%', 'garlic puree nan%', 'salt nan%', 'apple extract nan%', 'ground ginger puree . nan%']",CP026,PRET PICKLE 6KG,,"apple, granulated sugar, water, balsamic vinegar caramel free, tomato puree, kibbled onion, raisins, garlic puree, salt, apple extract, ground ginger puree .","['balsamic vinegar caramel free', 'tomato puree', 'kibbled onion', 'garlic puree', 'apple extract', 'ground ginger puree .']","['apple->apple, raw, all varieties', 'granulated sugar->sugar, brown', 'raisins->raisins, seedless']","['apple, raw, all varieties', 'sugar, brown', 'water', 'raisins, seedless', 'salt']",1.10608
6,"['quince nan%', 'sugar nan%', 'gelling agent: pectin nan%', 'acidity regulator:citric acid nan%', 'preservative:sodium benzoate nan%']",CP077,MEMBRILLO QUINCE 800G,,"quince,sugar, gelling agent: pectin, acidity regulator:citric acid, preservative:sodium benzoate","['gelling agent: pectin', 'acidity regulator:citric acid', 'preservative:sodium benzoate']","['sugar->sugar, white']","['quince', 'sugar, white']",1.13565
7,"['tomatoes nan%', 'sugar nan%', 'diced red pepper nan%', 'sun dried tomato paste nan%', 'white wine vinegar nan%', 'kibbled onions nan%', 'salt nan%', 'mustard seeds nan%', 'ground ginger nan%', 'rapeseed oil nan%', 'tomato nan%', 'water nan%', 'sal nan%']",CP085,TOMATO & RED PEPPER RELISH 1KG,,"tomatoes, sugar, diced red pepper, sun dried tomato paste (rapeseed oil, tomato, water, salt), white wine vinegar, kibbled onions, salt, mustard seeds, ground ginger","['diced red pepper', 'sun dried tomato paste', 'white wine vinegar', 'kibbled onions', 'ground ginger', 'sal']","['tomatoes->tomato, ripe, raw, origin unknown', 'sugar->sugar, white', 'tomato->tomato, dried']","['tomato, ripe, raw, origin unknown', 'sugar, white', 'salt', 'mustard seeds', 'rapeseed oil', 'tomato, dried', 'water']",1.82404
8,"['apple nan%', 'granulated sugar nan%', 'cider vinegar nan%', 'kibbled onion nan%', 'pectin nan%', 'muscovado sugar nan%', 'sultanas nan%', 'salt nan%', 'ground ginger nan%', 'ground black pepper nan%', 'ground white pepper nan%', 'citric acid nan%', 'sultanas nan%', 'sunflower oi nan%']",CP142,CHUTNEY CARAMELISED APPLE & ONION 1KG,,"apple, granulated sugar, cider vinegar, kibbled onion, pectin, muscovado sugar, sultanas (sultanas, sunflower oil), salt, ground ginger, ground black pepper,ground white pepper, citric acid","['kibbled onion', 'muscovado sugar', 'sultanas', 'ground ginger', 'ground black pepper', 'ground white pepper', 'citric acid', 'sultanas']","['apple->apple, raw, all varieties', 'granulated sugar->sugar, brown', 'cider vinegar->apple cider vinegar', 'pectin->apple pectin', 'sunflower oi->sunflower oil']","['apple, raw, all varieties', 'sugar, brown', 'apple cider vinegar', 'apple pectin', 'salt', 'sunflower oil']",2.1465833333333335
9,"['granulated sugar nan%', 'cider vinegar nan%', 'water nan%', 'pectin nan%', 'red peer iqf nan%', 'chipotle chillies nan%', 'citric acid nan%', 'smoked paprika nan%']",CP150,JELLY SMOKED CHILLI CROXTON MANOR 1KG,,"granulated sugar, cider vinegar, water
pectin, red peer iqf, chipotle chillies, citric acid ,smoked paprika","['red peer iqf', 'chipotle chillies', 'citric acid', 'smoked paprika']","['granulated sugar->sugar, brown', 'cider vinegar->apple cider vinegar', 'pectin->apple pectin']","['sugar, brown', 'apple cider vinegar', 'water', 'apple pectin']",2.0349749999999998
